epoch,rank_weight,steps_per_epoch,macro_val_spearman,macro_val_pearson,macro_val_loss,train_Shanehsazzadeh2023_trastuzumab_zero_kd_loss,train_Shanehsazzadeh2023_trastuzumab_zero_kd_spearman,val_Shanehsazzadeh2023_trastuzumab_zero_kd_loss,val_Shanehsazzadeh2023_trastuzumab_zero_kd_spearman,val_Shanehsazzadeh2023_trastuzumab_zero_kd_pearson,val_Shanehsazzadeh2023_trastuzumab_zero_kd_n_rows,train_Warszawski2019_d44_Kd_loss,train_Warszawski2019_d44_Kd_spearman,val_Warszawski2019_d44_Kd_loss,val_Warszawski2019_d44_Kd_spearman,val_Warszawski2019_d44_Kd_pearson,val_Warszawski2019_d44_Kd_n_rows,train_Koenig2017_g6_Kd_loss,train_Koenig2017_g6_Kd_spearman,val_Koenig2017_g6_Kd_loss,val_Koenig2017_g6_Kd_spearman,val_Koenig2017_g6_Kd_pearson,val_Koenig2017_g6_Kd_n_rows
1,0.03333333333333333,368,0.19362224576373896,0.17534235694135228,0.3914393683274587,0.4706889221849649,-0.0708378580601319,0.2169848382472992,0.43100234866142273,0.4101484417915344,42,0.7638340078745828,0.04053370840847492,0.4232446551322937,0.02380363456904888,0.006502138916403055,204,0.53621205164135,0.10691787518006711,0.5340886116027832,0.12606075406074524,0.10937649011611938,303
2,0.06666666666666667,368,0.16040969577928385,0.17202835281689963,0.26248814662297565,0.24377123071033446,0.14248865925264162,0.1482931226491928,0.4118790924549103,0.4354493021965027,42,0.6052398797664934,-0.011262020593836108,0.4860154688358307,-0.02204521931707859,-0.08954513072967529,204,0.6161034265290136,0.09917908249341924,0.1531558483839035,0.09139521420001984,0.17018088698387146,303
3,0.1,368,0.19316168998678526,0.18024603525797525,0.25557102759679157,0.19494783669431634,0.18439504542501173,0.13375484943389893,0.4227372109889984,0.4225197732448578,42,0.6172236439560642,-0.036257860822086575,0.46409839391708374,-0.029244262725114822,-0.09827770292758942,204,0.2369551503322494,0.12287008801711277,0.1688598394393921,0.18599212169647217,0.2164960354566574,303
4,0.1,368,0.22195235205193362,0.19513949751853943,0.2517941544453303,0.17330439215091833,0.37372026589692087,0.12124162912368774,0.48918241262435913,0.46024811267852783,42,0.6182805837265083,-0.052715141425973604,0.46497902274131775,-0.020084669813513756,-0.10314622521400452,204,0.23494013411000492,0.13371993858760933,0.1691618114709854,0.19675931334495544,0.22831660509109497,303
5,0.1,368,0.23433721717447042,0.20729082574446997,0.25202831625938416,0.16045056769655922,0.45076956975636845,0.12011986970901489,0.5133295655250549,0.47500112652778625,42,0.6089903094595478,0.006395217842392383,0.4673864543437958,-0.01178873609751463,-0.08706726878881454,204,0.2163573568539014,0.09462759498920706,0.1685786247253418,0.20147082209587097,0.23393861949443817,303
6,0.1,368,0.2434417646145448,0.21910478671391806,0.2531022330125173,0.15003797452348147,0.5100519628545572,0.11848080158233643,0.5164087414741516,0.49285927414894104,42,0.635031604918383,-0.018015882631732247,0.4750644266605377,-0.0019506540847942233,-0.06891459226608276,204,0.22074032402481913,0.13072877635886845,0.16576147079467773,0.21586720645427704,0.23336967825889587,303
7,0.1,368,0.25737160180384916,0.23142805943886438,0.25001224378744763,0.1467243371362036,0.5322949773208662,0.11859215795993805,0.533263087272644,0.5055911540985107,42,0.5966303076346715,0.03214385658502579,0.4632601737976074,0.0018672565929591656,-0.041405148804187775,204,0.21966169291624316,0.1098808597566353,0.16818439960479736,0.2369844615459442,0.2300981730222702,303
8,0.1,368,0.26145615506296355,0.24232484524448714,0.24783435960610709,0.13801855230782212,0.5492322803670618,0.11605875194072723,0.5468762516975403,0.523966372013092,42,0.6254379433614237,0.027147667454900565,0.4630282521247864,0.006343866232782602,-0.03147495910525322,204,0.22625296007384332,0.09535639762486282,0.16441607475280762,0.2311483472585678,0.23448312282562256,303
9,0.1,368,0.27105695350716513,0.25037324490646523,0.24882837136586508,0.1317532856402726,0.5862112017027263,0.11947786808013916,0.5556275844573975,0.5365289449691772,42,0.6198468324074076,0.02710512600654413,0.4632755219936371,0.012653808109462261,-0.02198883704841137,204,0.22933489465304002,0.10526877650209056,0.16373172402381897,0.24488946795463562,0.23657962679862976,303
10,0.1,368,0.28598005200425786,0.264223719733612,0.25114887952804565,0.12665552071860578,0.6081705192928432,0.11773881316184998,0.571509599685669,0.5489052534103394,42,0.6155273771639598,0.07626271825599468,0.4725269675254822,0.01802234724164009,0.0003166052629239857,204,0.209773316164501,0.09915865396033041,0.1631808578968048,0.2684082090854645,0.24344930052757263,303
11,0.1,368,0.2966672070324421,0.2681142784034212,0.24824831386407217,0.12494483941280451,0.6119454343055115,0.11177845299243927,0.5741025805473328,0.5537449717521667,42,0.6108467754770498,0.019627913099820496,0.46530407667160034,0.030859913676977158,0.009238689206540585,204,0.2205112458116585,0.1906158358098999,0.16766241192817688,0.28503912687301636,0.2413591742515564,303
12,0.1,368,0.3000431867937247,0.2730367745583256,0.24616684516270956,0.11993423437442237,0.6346783294546895,0.11310562491416931,0.5684304237365723,0.5561809539794922,42,0.616916856595448,0.0629323058510347,0.46280667185783386,0.04350665584206581,0.011332501657307148,204,0.22272504158631093,0.11896926559069577,0.1625882387161255,0.288192480802536,0.2515968680381775,303
13,0.1,368,0.30488185708721477,0.27710194202760857,0.24909835557142893,0.11525541128775546,0.654414290860864,0.11904452741146088,0.5718337297439575,0.5668923258781433,42,0.6203037807396774,0.0787057763864768,0.46451902389526367,0.051336128264665604,0.02112155593931675,204,0.21889869425415007,0.1540484313260425,0.16373151540756226,0.29147571325302124,0.2432919442653656,303
14,0.1,368,0.30334752177198726,0.28232311457395554,0.2517099181811015,0.10832454315651723,0.6793450472073826,0.12706932425498962,0.5600032210350037,0.5655975341796875,42,0.6100921984946374,0.0821159053040613,0.4633370041847229,0.056604307144880295,0.035227276384830475,204,0.21540453512635496,0.15702700169963968,0.16472342610359192,0.2934350371360779,0.24614453315734863,303
15,0.1,368,0.31179729600747425,0.29395555580655736,0.24927841126918793,0.10718881996633771,0.6840276838959874,0.11937098205089569,0.5640547871589661,0.5690308213233948,42,0.6073910450148914,0.11690670324282514,0.4661533832550049,0.06801705062389374,0.06070772185921669,204,0.21774005725056725,0.13862243865047935,0.1623108685016632,0.303320050239563,0.25212812423706055,303
16,0.1,368,0.3127727806568146,0.29536154866218567,0.24805922309557596,0.10789323735393976,0.6837329329890117,0.11884458363056183,0.5570861101150513,0.5550320744514465,42,0.6292633427513971,0.13203093277083502,0.46145594120025635,0.07448530197143555,0.07314416766166687,204,0.20798089599409023,0.14973262090142034,0.16387714445590973,0.3067469298839569,0.2579084038734436,303
17,0.1,368,0.3043101951479912,0.2942015677690506,0.246668741106987,0.09923245114358989,0.7092680052825899,0.11649943888187408,0.5337492823600769,0.5519726872444153,42,0.5748698180463133,0.1258120021837599,0.46186593174934387,0.07013166695833206,0.07597197592258453,204,0.21516659015264267,0.12509712611890247,0.16164085268974304,0.3090496361255646,0.254660040140152,303
18,0.1,368,0.3042253752549489,0.29185330619414646,0.2588847428560257,0.10102222484226028,0.714464700811853,0.12777508795261383,0.5301839113235474,0.5423455834388733,42,0.6274652785534481,0.11661719474539482,0.4760832190513611,0.06928497552871704,0.08831960707902908,204,0.21160744800480133,0.13158401170181572,0.17279592156410217,0.3132072389125824,0.24489472806453705,303
19,0.1,368,0.3152042403817177,0.29624610394239426,0.2468336671590805,0.09390633456085039,0.7403683281787063,0.11397172510623932,0.5384490489959717,0.5454257130622864,42,0.6207020550414368,0.11264846253174322,0.46183621883392334,0.08217766135931015,0.09605317562818527,204,0.2239418946450851,0.15152470449932287,0.16469305753707886,0.3249860107898712,0.24725942313671112,303
20,0.1,368,0.3134672020872434,0.30472715695699054,0.25053759664297104,0.09641396223256986,0.7316849835216999,0.11511892825365067,0.5360181331634521,0.5455721020698547,42,0.5935778750313653,0.1779365927681454,0.4680028259754181,0.08564078062772751,0.11722913384437561,204,0.2080389719086749,0.16374846567748158,0.16849103569984436,0.31874269247055054,0.25138023495674133,303
